name,xmin,xmax,ymin,ymax,file
S60_W90,-90,-60,-60,-30,/data_2/scratch/ting/data_temp/pre_merged_rasters/S60_W90_twi_vegh_rm.nc
S60_W60,-60,-30,-60,-30,/data_2/scratch/ting/data_temp/pre_merged_rasters/S60_W60_twi_vegh_rm.nc
S60_E0,0,30,-60,-30,/data_2/scratch/ting/data_temp/pre_merged_rasters/S60_E0_twi_vegh_rm.nc
S60_E30,30,60,-60,-30,/data_2/scratch/ting/data_temp/pre_merged_rasters/S60_E30_twi_vegh_rm.nc
S60_E90,90,120,-60,-30,/data_2/scratch/ting/data_temp/pre_merged_rasters/S60_E90_twi_vegh_rm.nc
S60_E120,120,150,-60,-30,/data_2/scratch/ting/data_temp/pre_merged_rasters/S60_E120_twi_vegh_rm.nc
S60_E150,150,180,-60,-30,/data_2/scratch/ting/data_temp/pre_merged_rasters/S60_E150_twi_vegh_rm.nc
S30_W120,-120,-90,-30,0,/data_2/scratch/ting/data_temp/pre_merged_rasters/S30_W120_twi_vegh_rm.nc
S30_W90,-90,-60,-30,0,/data_2/scratch/ting/data_temp/pre_merged_rasters/S30_W90_twi_vegh_rm.nc
S30_W60,-60,-30,-30,0,/data_2/scratch/ting/data_temp/pre_merged_rasters/S30_W60_twi_vegh_rm.nc
S30_E0,0,30,-30,0,/data_2/scratch/ting/data_temp/pre_merged_rasters/S30_E0_twi_vegh_rm.nc
S30_E30,30,60,-30,0,/data_2/scratch/ting/data_temp/pre_merged_rasters/S30_E30_twi_vegh_rm.nc
S30_E90,90,120,-30,0,/data_2/scratch/ting/data_temp/pre_merged_rasters/S30_E90_twi_vegh_rm.nc
S30_E120,120,150,-30,0,/data_2/scratch/ting/data_temp/pre_merged_rasters/S30_E120_twi_vegh_rm.nc
S30_E150,150,180,-30,0,/data_2/scratch/ting/data_temp/pre_merged_rasters/S30_E150_twi_vegh_rm.nc
N0_W120,-120,-90,0,30,/data_2/scratch/ting/data_temp/pre_merged_rasters/N0_W120_twi_vegh_rm.nc
N0_W90,-90,-60,0,30,/data_2/scratch/ting/data_temp/pre_merged_rasters/N0_W90_twi_vegh_rm.nc
N0_W60,-60,-30,0,30,/data_2/scratch/ting/data_temp/pre_merged_rasters/N0_W60_twi_vegh_rm.nc
N0_W30,-30,0,0,30,/data_2/scratch/ting/data_temp/pre_merged_rasters/N0_W30_twi_vegh_rm.nc
N0_E0,0,30,0,30,/data_2/scratch/ting/data_temp/pre_merged_rasters/N0_E0_twi_vegh_rm.nc
N0_E30,30,60,0,30,/data_2/scratch/ting/data_temp/pre_merged_rasters/N0_E30_twi_vegh_rm.nc
N0_E60,60,90,0,30,/data_2/scratch/ting/data_temp/pre_merged_rasters/N0_E60_twi_vegh_rm.nc
N0_E90,90,120,0,30,/data_2/scratch/ting/data_temp/pre_merged_rasters/N0_E90_twi_vegh_rm.nc
N0_E120,120,150,0,30,/data_2/scratch/ting/data_temp/pre_merged_rasters/N0_E120_twi_vegh_rm.nc
N0_E150,150,180,0,30,/data_2/scratch/ting/data_temp/pre_merged_rasters/N0_E150_twi_vegh_rm.nc
N30_W180,-180,-150,30,60,/data_2/scratch/ting/data_temp/pre_merged_rasters/N30_W180_twi_vegh_rm.nc
N30_W150,-150,-120,30,60,/data_2/scratch/ting/data_temp/pre_merged_rasters/N30_W150_twi_vegh_rm.nc
N30_W120,-120,-90,30,60,/data_2/scratch/ting/data_temp/pre_merged_rasters/N30_W120_twi_vegh_rm.nc
N30_W90,-90,-60,30,60,/data_2/scratch/ting/data_temp/pre_merged_rasters/N30_W90_twi_vegh_rm.nc
N30_W60,-60,-30,30,60,/data_2/scratch/ting/data_temp/pre_merged_rasters/N30_W60_twi_vegh_rm.nc
N30_W30,-30,0,30,60,/data_2/scratch/ting/data_temp/pre_merged_rasters/N30_W30_twi_vegh_rm.nc
N30_E0,0,30,30,60,/data_2/scratch/ting/data_temp/pre_merged_rasters/N30_E0_twi_vegh_rm.nc
N30_E30,30,60,30,60,/data_2/scratch/ting/data_temp/pre_merged_rasters/N30_E30_twi_vegh_rm.nc
N30_E60,60,90,30,60,/data_2/scratch/ting/data_temp/pre_merged_rasters/N30_E60_twi_vegh_rm.nc
N30_E90,90,120,30,60,/data_2/scratch/ting/data_temp/pre_merged_rasters/N30_E90_twi_vegh_rm.nc
N30_E120,120,150,30,60,/data_2/scratch/ting/data_temp/pre_merged_rasters/N30_E120_twi_vegh_rm.nc
N30_E150,150,180,30,60,/data_2/scratch/ting/data_temp/pre_merged_rasters/N30_E150_twi_vegh_rm.nc
N60_W180,-180,-150,60,90,/data_2/scratch/ting/data_temp/pre_merged_rasters/N60_W180_twi_vegh_rm.nc
N60_W150,-150,-120,60,90,/data_2/scratch/ting/data_temp/pre_merged_rasters/N60_W150_twi_vegh_rm.nc
N60_W120,-120,-90,60,90,/data_2/scratch/ting/data_temp/pre_merged_rasters/N60_W120_twi_vegh_rm.nc
N60_W90,-90,-60,60,90,/data_2/scratch/ting/data_temp/pre_merged_rasters/N60_W90_twi_vegh_rm.nc
N60_W60,-60,-30,60,90,/data_2/scratch/ting/data_temp/pre_merged_rasters/N60_W60_twi_vegh_rm.nc
